WKT,fid,gid,bladnr,lo_x,lo_y,has_data,has_data_05m_dsm,has_data_05m_dtm,has_data_5m_dsm,has_data_5m_dtm,has_data_laz,fuuid,size_in_bytes,point_count,partition_id
"POLYGON ((80000 443750,80000 437500,85000 437500,85000 443750,80000 443750))","836","837",37ez1,"80000","437500","1","1","1","1","1","1",ahn3_bladindex.02c97b9f-e1ff-4201-9e5e-f5b4bef2bc50,"2158133859","468682253","0"
"POLYGON ((85000 443750,85000 437500,90000 437500,90000 443750,85000 443750))","837","838",37ez2,"85000","437500","1","1","1","1","1","1",ahn3_bladindex.21080e72-01ee-4f0d-b2bf-be7f9b8a46e1,"2323723409","495827533","0"
"POLYGON ((80000 437500,80000 431250,85000 431250,85000 437500,80000 437500))","876","877",37gn1,"80000","431250","1","1","1","1","1","1",ahn3_bladindex.a107e30f-fbeb-4b6c-a13d-653102398515,"1918931328","397365140","0"
"POLYGON ((85000 437500,85000 431250,90000 431250,90000 437500,85000 437500))","877","878",37gn2,"85000","431250","1","1","1","1","1","1",ahn3_bladindex.e3fbcfc4-116d-4735-b4de-35b798100cb5,"1758661644","372101351","0"
